prompt,completion
"Travel and Entertainment Procedures
Reservation Procedures
When making business travel arrangements with Covington International Travel, the traveler will be asked for a college department code to which the air travel should be charged. Travel booked directly with Covington International Travel of Virginia is covered directly by American Express. The College will charge the appropriate department code directly based upon this information. For travel booked at other travel agencies or directly with the airlines, the traveler should charge the ticket to his/her Pcard (or another method) .The traveler should then submit a properly approved invoice for direct payment to the agency/airline. Though not encouraged, If the traveler used personal funds, the cost may be reimbursed before the date of travel however it will be treated as a Travel Advance (with proper approvals) and will not be expensed until boarding passes have been submitted to the Business Office. This expense will be subject to the same settlement requirements as settlement for cash Travel Advances. It is important the traveler recognize that travel paid directly by the College to an outside agency or airline, or not charged on his/her Pcard, is not covered by the Pcard business travel insurance.
","Which travel agency charges directly to the department?

For travel booked directly to the airlines, where should the ticket be charged to?

If booked with personal funds, when do we get reimbursed?

Is travel charged to the Pcard covered under business travel insurance?

"
"Travel Advance
Travel advances will be issued to College faculty, staff and students traveling on College business. Travel advances will be made to travelers who anticipate incurring out-of-pocket cash expenses in excess of $100 per trip. Thus, if cash expenses (i.e., expenses such as taxis, tolls, tips, and meals not chargeable to the Pcard) will likely exceed $100, a travel advance can be approved by the traveler’s chairperson or department head (or their designee). A travel advance should not be issued for airfare, lodging, service payments such as honoraria, conference fees, or other substantial costs that can be prepaid, prearranged, invoiced, or charged on the Pcard.
Authorization of a travel advance should be documented on the Request for Travel Advance (Attachment C1) and submitted to the Business Office where the travel advance is processed. The request should be submitted at least 7 working days prior to the departure date.
After travel is complete, an approved Travel Expense Summary (Attachment B1) should be submitted to the Business Office (Attachment E). If the advance exceeded the actual expenses, a check made payable to Sweet Briar College should accompany the Travel Expense Summary. If expenses were greater than the advance, the College will reimburse the traveler the net amount due.
A travel advance will be held as a receivable from the traveler until a supporting Travel Expense Summary is processed by the Business Office. A travel advance shall be settled promptly within30 days after the trip’s completion, and before other advances or reimbursements are requested.
An employee may have only one travel advance outstanding at any given time. Failure to account for a travel advance will result in:
delinquent sixty (60) days
• suspending of travel advance privileges
• payroll deduction of amount advanced this is not clear to me and I wrote it!. You have to return unused
funds within 60 days and expenses must be substantiated within 120 days. These are IRS deadlines- we need to have the travel cleared sooner to expense and show on our books.
delinquent one-hundred and twenty (120) days
• reporting the advance to the IRS on the employee’s Form W-2
• withholding of taxes on the advance from the employee’s paycheck
Once an unsettled advance has been added to the employee’s W-2, it cannot be reversed even if settled.1 Students with an outstanding advance will have the amount in excess of documented expenses charged directly to
their student account.
Faculty Grant Advance
Faculty Grant Advance will be issued to those faculty members who have been awarded a faculty grant and will not be using their college Pcard or do not have a Pcard. Advance and Faculty Travel Grant reimbursement are handled in the Grants Office and require the approval of the Post-Award Grant Administrator. For questions regarding the Faculty Grant please contact Mary
Woerner, Post-Award Grant Administrator at 381-6353 or mwoerner@sbc.edu.","If one wants to get an advance payment for travel what is the minimum about of anticipated expense to apply for travel advance?

What expenses do not qualify for a travel advance?

What form needs to be filled to request a travel advance?

How many travel advances can one have at any given time?

What are the conditions for faculty members receiving faculty grant advance?

Whom should one contact for questions regarding faculty grant advance?

"
"Unused Air Tickets
Unused air tickets purchased by the College should be returned immediately to the place of purchase for processing. The “passenger receipt” should be attached to the Travel Expense Summary Report, with a note indicating which coupons were returned for credit.
","What should one do with unused air tickets?

"
"Completing the College Travel Expense Summary Expense Report
All travel and entertainment should be reported on the Sweet Briar College Travel Expense Summary Report.
(Attachment B1).
Original receipts are required for all expenses indicated below. The Travel Expense Summary Report must be signed by the traveler and approved by the chairperson or department head. The report should be submitted within 15 days after the completion of the trip if the college Pcard was not used When the travel is divided to cash payments and Pcard purchases the Travel Expense summary should accompany the corresponding Pcard statement and any reimbursements will be processed at that time. The Travel Expense Summary Report must be approved by the person with budgetary authority over the accounts from where the travel is to be expensed. The traveler may not approve reimbursement for themselves or someone in their immediate family.
The Travel Expense Summary must be submitted in U.S. dollars with an explanation and translation of the foreign receipts and their conversions. Travelers must use the currency rates that were in effect when travel took place.
Support for Expenses
The following support for reimbursement requests will be required for all expenses:
a. Air transportation Airline ticket “receipt” coupon, copy of invoice and boarding passes
b. E-Tickets Airline “receipt/itinerary”, charge card receipt and boarding passes
c. Car rental Car rental agreement and charge card receipt (if applicable)
d. Personal Auto Miles driven or original gas receipts
e. College Vehicle Original gas and/or oil receipts (note use of College vehicle on Travel Expense Summary)
f. Lodging Itemized original hotel bill and charge card receipt (if applicable)
g. Meals Itemized original hotel bill, charge card or restaurant receipt (if applicable name(s), position(s), company of the person(s) entertained and business purpose)
h. Conference Agenda (meeting schedule) and paid receipt
i. Entertainment Charge card receipt with name(s), position(s), company of the person(s) entertained and business purpose
j. Telephone, Fax,  Internet Hotel bill or other connection charges
k. Taxi, Bus, Tolls,   Other Receipt or bill
NOTE: Original documents must be submitted as support for expenses. Photocopies of invoices, credit card statements or record of charge slips accompanying the monthly billing statement, receipts or restaurant stubs are not acceptable unless the original document was lost and a missing receipt form is attached to the Travel Expense Summary Report giving full explanation of circumstances.
A receipt is defined as a written acknowledgment that a specified remittance, article or delivery has been made. At a minimum, the name of the payee, date and amount should appear on the receipt. Receipts are to be submitted for all expenses.
Any unusual items or special circumstances causing a policy deviation should be fully explained on an attached, signed memorandum and properly approved.","Whom should the Travel Expense Summary Report be signed by?

What currency should the Travel Expense Summary Report be in?

What should be done about the foreign receipts in your travel expense summary report?

By when should the travel expense summary report be submitted if the Pcard was not used?

Under what conditions not submitting the original receipt with the Travel Expense Summary is acceptable?

What are the supporting documents one should submit along with the Travel Expense Summary?

"
"Approvals
Travel Expense Summary should be signed by the traveler and signed as approved by an appropriate authority. As each department has a different supervisory structure, the appropriate authority is defined by this structure (normally the travelers’ immediate supervisor, department chairperson or department head). No traveler should approve his/her own Travel Expense Summary. In no instance shall a peer or subordinate approve a traveler’s Travel Expense Summary
The approval indicates that the reviewer examined the Expense Report in detail, verified the appropriateness of expenditures in accordance with College policy, attests to the mechanical accuracy of the form (or had a designee perform this step the designee must have a completed Delegation of Signing Authority form on file in the Business Office), and is satisfied with the amount reimbursed to the traveler.
All policy deviations should be addressed and approved by the appropriate authority.
Business Office Responsibility and Reimbursement Policy
The Business Office and/or Grant Post Award Administrator will review the Travel Expense Summary Report for the appropriate signatures, check the mechanical accuracy of reports, and review expenditures and support for compliance with College Policy prior to processing the reimbursement
A properly completed Travel Expense Summary submitted to the Business Office will be processed within 5 working days (i.e., if an Travel Expense Summary is turned into the Business Office before5:00 p.m. on Friday, your check will ready by Friday, 12:00 p.m.). A Travel Expense Summary lacking proper approval, documentation, or is not in accordance with College policy will be returned to the official who approved the documents and will not be submitted for reimbursement.","How soon is a Travel Expense Summary report approved?

Who has the appropriate authority to sign the Travel Expense Summary report?

"
"Non-Travel Expenses and Entertainment
Meal and Entertainment Expenses
To be reimbursable, entertainment expenses should be expenditures essential to transacting College business. The Internal Revenue Code requires that specific details regarding the names of guests entertained, cost, date, place, business purpose and the business relationship of the individuals entertained be supplied. An original receipt is required. Expenses for meals and entertainment should be submitted for reimbursement on a properly approved Travel Expense Summary. Support for the Travel Expense Summary should include the specific details outlined above. Liquor and entertainment expenses are not chargeable to federal grants and contracts.
Food or Refreshments for College Events
All food or refreshments required for a College event (breakfast, luncheon, dinner or reception) can be provided through Sweet Briar College’s Catering Department. The Catering Department can charge directly to the sponsoring department’s organization and account number.
Local Lodging for Guests of Sweet Briar
Whenever possible, guests should be housed at the Florence Elston Inn on campus. Reservations can be made by calling the Florence Elston Inn (434-381-6207).","When are expenses related to entertainment during travel reimbursable?

Who should be asked to provide food and refreshments for college events?

Where should guests of Sweet Briar college stay locally?

"
"Expenses Not Reimbursable by the College
The following list is presented only as a guide and is not intended to be a complete list of expenses, which are not reimbursable, by the College:
• Airline, car rental and travel insurance in addition to the amount provided free through Pcard Services and the College.
• Portion of air travel, train travel, auto rental, mileage, hotel costs, or meals for personal use.
• Upgrades — air, hotel or car rental.
• Traffic fines, court costs, parking violations, auto repairs, towing charges and services to gain entry to a locked vehicle.
• Unused room reservations not properly canceled.
• Annual premiums for personal property insurance, or annual fees for personal credit cards including liability
insurance for lost cards.
• Personal expenses such as movies, snacks, haircuts, reading material, toiletries, etc.
• Transportation from home to office to home.
• Theft, loss or damage to non-business related personal property.
• Contributions to public officials or candidates to public office.
• Membership dues, including airline club dues and country club dues unless authorized by an appropriate authority.
• Baby sitter fees, kennel costs, pet or house-sitting fees
• Doctor bills, prescriptions and other medical services.
• Monthly internet line charges from an employee’s personal residence will not be reimbursed unless appropriate business purpose is documented and approved by the Vice President for Finance and Administration.
• Spouse travel expenses when the spouse’s presence is not required by the College.
• Cellular or airfone usage (except when documented with appropriate business purpose).
• Credit card delinquency fees or finance charges.
• Saunas, massages or exercise facilities.
","What are examples of expenses not reimbursable by college?

Are travel expenses of spouse reimbursable?

"
"Purchasing Department Information
Cynthia Ponton, Director
BankCard Services (P-Card/Corporate Card) 3rd Floor Prothro
(434) 381-6136
Fax: (434) 381-6445
cponton@sbc.edu
Services Offered:
• Air tickets, domestic and international
• Car rentals and other ground transportation • Group travel, domestic and international
• Hotel
Covington International Travel
Patty Phelps
888-747-7077
Business Hours: 8:00 a.m.- 5:30 p.m. Monday-Friday
24 Hour Emergency Assistance Number: (800) 795-6828 (Code S5V1) for emergencies only, additional fees are charged
Services Offered:
• Air tickets, domestic and international
• Car rentals and other ground transportation, including United Limo services • Conference services
• Free delivery
• Group travel, domestic and international
• Hotel
• Rail, domestic and international
• Travel information
• Visa/passport assistance
24 hour emergency service.","What is the information for purchasing department of P-card services?

"
"Travel Expense Summary Directions Introduction
A properly completed and approved Travel Expense Summary (see Attachment B1) is required for reporting expenses applicable to College-related travel and entertainment. The Travel Expense Summary Report is a .pdf doc available at www.sbc.edu/business-office
Purpose
The purpose of the Travel Expense Summary is to provide a means for faculty and staff to seek reimbursement from the College for business expenses and to give department heads the opportunity to fully review all expenditures associated with College travel and entertainment. In addition, the format of the Travel Expense Summary is intended to comply with Internal Revenue Service reporting requirements.
Support for Expenses
The following support for reimbursement requests will be required for all traveling and in-town expenses (original receipts are required for all expenses indicated on the Travel Expense Summary):
a. Air transportation Airline ticket “receipt” coupon, copy of invoice and boarding passes
b. E-Tickets Airline “receipt/itinerary”, charge card receipt and boarding passes
c. Car rental Car rental agreement and charge card receipt (if applicable)
d. Personal Auto Miles driven or original gas receipts
e. College Vehicle Original gas and/or oil receipts (note use of College vehicle on Travel Expense Summary)
f. Lodging Itemized hotel bill and charge card receipt (if applicable)
g. Meals Hotel bill, charge card or restaurant receipt (if applicable name(s), position(s), company of the person(s) entertained and business purpose).
h. Conference Agenda (meeting schedule) and paid receipt
i. Entertainment Charge card receipt with name(s), position(s), company of the person(s) entertained and business purpose
j. Telephone, Fax, Internet. Hotel bill or other connection charges
k. Taxi, Other Receipt or bill
NOTE: Original documents must be submitted as support for expenses. Photocopies of invoices, credit card statements or record of charge slips accompanying the monthly billing statement, receipts or restaurant stubs are not acceptable unless the original document was lost and Missing Receipt form is attached to the Travel Expense Summary giving full explanation of circumstances. A receipt is defined as a written acknowledgment that a specified remittance, article or delivery has been made. At a minimum, the name of the payee, date and amount should appear on the receipt. Receipts should be submitted for all expenses.
Any unusual items or special circumstances causing a policy deviation should be fully explained on the Travel Expense Summary Report.
The Travel Expense Summary must be signed by the traveler with the appropriate approvals and a copy of the
Request for Travel Advance attached with it, if applicable.
The approval indicates that the reviewer examined the Travel Expense Summary in detail, verified the appropriateness of expenditures in accordance with College policy, attests to the mechanical accuracy of the form (or had a designee perform this step), and is satisfied with the amount reimbursed to the traveler.","Where can I find the Travel Expense Summary report?

What is the purpose of a Travel Expense Summary?

In regards to Lodging, what expenses should be attached to the Travel Expense Summary?

Why should the Travel Expense Summary approved?

"
"Completing the Expense Report
The Travel Expense is designed to record business expenses, by category, on a daily basis.
The Travel Expense Summary is intended to reflect the total cost of a trip. It provides reporting for expenses paid by the employee that are reimbursable, expenses that are charged to the employees Pcard and expenses charged to the college’s American Express account via Covington International Travel.
The Travel Expense Summary is designed for one week of travel. Use the Summary for as many weeks of travel for one trip as necessary.
The Summary is basically divided into two parts. The first part is the documentation of expenses. The second part is the coding of expenses, and provides space for the business purpose of the trip and explanations of any unusual items associated with the expense.
Part 1 – Documentation of Expenses – Please note the weekly total of all expense are totaled for you as is the Report total.
This section is divided into parts.
Section 1 – recording of trip date and mileage
Please enter the date with the corresponding day of the week for each day of travel.
Then if seeking reimburse for mileage, enter the miles traveled that are to be reimbursed. The form is programmed to compute the amount reimbursable based on the College’s mileage reimbursement rate.
Section 2 – recording of expenses paid by employee. These are expenses that can be reimbursed to the employee. Please note daily meals are broken out into the traditional 3 meals per day. The meal total for the day is computed for you. Please include snacks and sundries in the other column.
Section 3 – recording of expenses paid by Pcard. This section is much like the section above. Please include snacks and sundries in the other column.
There is also a space for expenses charged to the SBC American Express account with Covington International Travel.
The final section is the Total Expenses section. Please enter any travel advances received .
The report automatically computes Total Due.
Part 2 – Coding for Expenses and Purpose.
Please enter the Banner index or foapal and the amount to expense for each. Please note the amount expensed must equal the Total Expenses.
The next section is for giving the Business purpose for the college activity or trip (travel itineraries accepted by dev, alum)
The section below gives space for listing entertainment expenses etc.
The last section gives space for explanation of unusual expenses or items.
It is on this page where the employee submitting the report signs and well as the approver. This form may be
completed, saved to your desk top and printed.
If an employee has both, paid for some expenses personally and charged some expenses on his/her Pcard . Please submit the original Travel Summary Report with the reimbursement, using copies of Pcard receipts to document the Pcard portion of the report. When reconciling his/her Pcard statement, please submit an approved copy of the report with the original Pcard receipts.
• The travel advance associated with a trip should be deducted from the total expenses.
The Travel Expense Summary must be signed by the traveler and a copy of the Request for Travel Advance attached
with it, if applicable. The report should be submitted within 15 working days of the completion of the trip.
Foreign Travel — Travel Expense Summary must be submitted in U.S. dollars with an explanation and translation of the foreign receipts and their conversions. Travelers must use the currency rates that were in effect when costs were incurred.
Signatures
The Travel Expense Summary requires the manual signature of the employee and the appropriate authority, chairperson, department head, or his/her designee(Signing authority form must be on file in Business Office). In no instance shall a peer or subordinate approve a traveler’s Travel Expense Summary Report.","What is a Travel Expense Summary?

How long is the travel expense summary designed for?

What are the two parts of a Travel Expense Summary?

How to fill the Documentation of Expenses, the first part of Travel Expense Summary?

What does the second part of Travel Expense Summary, the Coding for Expenses and Purpose, contain?

By when should a Travel Expense Summary report be completed after the trip?

What Signatures are required in the Travel Expense Summary?

"
"Processing the Travel Expense Summary
Attachment B-1
A properly completed and approved Travel Expense Summary should be forwarded to the Business Office for processing. All properly completed and approved Travel Expense Summary Reports will be processed within 7 working days (i.e., if a Travel Summary Report is turned into the Business Office before Friday 5:00 p.m., your check will be ready by the following Friday 12:00 p.m.). Reports which are submitted without appropriate signatures and/or documentation (as defined in the Travel and Entertainment Policies and Procedures) or are not in accordance with College Policy will be returned to the individual who approved the Summary report and will not be processed.","How long does the processing of the Travel Expense Summary take?

Where should the Travel Expense Summary be forwarded for processing?

"
"Request for Travel Advance Directions Introduction
A travel advance will be made to the traveler who anticipates incurring out-of-pocket cash expenses in excess of $100 per trip. Thus, if cash expenses (i.e., expenses such as taxis, tolls, tips, and meals not chargeable to the Pcard) will likely exceed $100, a travel advance can be approved by the traveler’s chairperson or department head (or their designee). A travel advance cannot be issued for airfare, lodging, service payments such as honoraria, conference fees, or other substantial costs that can be prepaid, prearranged, invoiced, or charged on the Pcard.
For cash expenditures totaling less than $100, the College will reimburse the traveler after the trip in accordance with the College’s stated Travel Policies and Procedures. Exceptions to the $100 minimum can be approved on a case- by-case basis by the traveler’s immediate supervisor or department chairperson.
A travel advance will only be issued to College employees.
Purpose
The purpose of the Request for Travel Advance is to provide a means for travelers who do not have a college Pcard to seek funds in advance of a trip. The form will serve as the Business Office’s documentation supporting the request and approval for the disbursement. In addition, the form will be maintained as an open accounts receivable until the travel advance is cleared with a properly approved Travel Expense Summary Report. The trip must have adequate funding and the Banner foapal to be charged must be on the Travel Advance form.
Completing the Request for Travel Advance
Authorization of a travel advance should be documented on the Request for Travel Advance and submitted to the Business Office, where the advance is processed. The request should be submitted at least 10 working days prior to the departure date.
To provide the individual responsible for departmental approval and the Business Office with adequate information regarding the purpose of the travel advance, the traveler should complete the information requested on the form (see Attachment C1).
Signatures
All Request for Travel Advance forms require the traveler’s manual signature (indicating his/her review of the document) and the manual signature of the department chairperson or department head (or their appropriate designee) indicating their approval of the advance. No Request for Travel Advance forms will be accepted without these signatures.","What is a Travel Advance?

What is the purpose of a Travel Advance?

How long before the trip should the Request for Travel Advance be submitted?

What Signatures are required in the Request for Travel Advance?

"
"Responsibility of Traveler after Trip
After travel is complete, an approved Travel Expense Summary (Attachment B1) should be submitted to the Business Office (Attachment F). If the advance exceeded the actual expenses, a check made payable to Sweet Briar College should accompany the Travel Expense Summary. If expenses were greater than the advance, the College will reimburse the traveler the net amount due.26
A travel advance will be held as a receivable from the traveler until a supporting Travel Expense Summary is processed by the Business Office (Attachment F). A travel advance should be settled promptly (generally within 15 working days of the completion of the trip), and before other advances or reimbursements are requested.
Failure to Account for an Advance on a Timely Basis
An employee may have only one travel advance outstanding at any given time. Occasionally there will be a need for an advance while having an outstanding advance (i.e. team travel, foreign travel). Approval for an advance while one is outstanding (less than 15 days (again, 30 days is usually the turnaround time) is required from the Associate Vice President for Finance and Administration. Failure to account for a travel advance within 120 days will result in:
• suspending of travel advance privileges
• reporting the advance to the IRS on the traveler’s W-2
• withholding of taxes on the advance from the traveler’s paycheck • payroll deduction (within 60 days)
Once an unsettled advance has been added to the traveler’s W-2, it cannot be reversed even if settled.
Students with an outstanding advance will have the amount in excess of documented expenses charged directly to their student account.
All Travel Advances for travel during the current fiscal should be reconciled before June 30 in order to expense the travel amounts to the current fiscal year. Advances that are not settled before the fiscal year is closed will reduce the next fiscal year’s budget.
Processing Request for Travel Advance
Properly completed and approved Requests for Travel Advance forms should be forwarded to the Business Office no more than 10 days prior to travel. Incomplete forms will be returned to the individual approving the advance and will not be processed,
Visa Management Bankcard Services (Pcard) Business Travel Accident Insurance
Visa Management Bankcard Services, PCard, provides business travel (accidental death and dismemberment) accident insurance to faculty and staff when the associated travel (rental cars and taxis are excluded) is charged directly to the individual’s Sweet Briar College Pcard. This is additional travel insurance; there is no “coordination of benefits” with the Sweet Briar College Travel Accident Insurance Policy.
Check with Cindy P to see if this is still applicable.
Details regarding this coverage can be obtained by contacting the Director of Purchasing at 381-6136.
Baggage Coverage
Pcard provides insurance against the physical loss of baggage and other personal effects in excess of the amount payable by a Common Carrier responsible for the loss. This coverage provides up to $500 (per eligible person) for checked baggage and $1,250 (per eligible person) for baggage and certain personal effects “carried on” a Common Carrier (certain items (e.g., cameras, jewelry) are limited in coverage to a combined maximum of $250 per trip).Check with Cindy P to see if these amounts are still applicable/
Details regarding this coverage can be obtained by contacting the Director of Purchasing at 381-6136.","What should the traveler do if the Travel Advance exceeds the expenses made in the trip?

What if the traveler needs more than one Travel Advance at a time?

What are the consequences for a Failure to account for a travel advance within 120 days of travel?

By when should a Request for Travel Advance be completed?

When is Travel accident insurance provided by the college?

What are the possible baggage coverage available?"
